gender,account_type,transaction_type,device,receiver_acc_type,device_os,name,cpf,birth_date,adress_pcode,phone_number,acc_creation_date,agency,account,credit_score,sender_id,device_id,device_model,transaction_amount,transaction_id,transaction_city,transaction_time,receiver_id,receiver_bank,receiver_agency,receiver_account
f,salario,pix,cellphone,pagamento,penguin,Thomas Melo,249.630.851-51,1945-11-20,59486861,+55 61 0964-9950,2023-07-11,5966,265463,425.0,sid34Mt,dv10PQ,md35xI,46404.79,2652,Cardoso Alegre,2024-02-14 01:56:59,rid52Lk,bk62,6572,755522
m,salario,pix,cellphone,corrente,cheeseos,Vinicius Pinto,785.431.062-90,1992-01-03,27022-606,(071) 2833-8155,2021-08-06,1565,832838,612.0,sid23tr,dv26pc,md08lG,474.19,2653,Peixoto,2024-10-15 09:12:52,rid58gR,bk30,7702,333127
m,corrente,pix,cellphone,poupanca,bot,Anthony Sales,731.048.965-93,1998-01-06,58926609,+55 (041) 0023 7385,2020-12-07,7623,561320,833.0,sid02RH,dv01lJ,md91lt,41664.47,2654,Camara da Prata,2023-06-14 15:19:38,rid88uI,bk73,7173,868417
f,pagamento,boleto,cellphone,corrente,bot,Raul Monteiro,801.539.476-75,1946-05-09,15674305,(071) 8811 4636,2025-05-02,5354,116053,695.0,sid19ez,dv67gZ,md40pB,13421.5,2655,Araujo das Flores,2025-07-02 10:37:40,rid24Ca,bk26,6875,891043
m,pagamento,pix,desktop,corrente,bot,Alexandre Costela,148.753.692-55,1998-08-09,04225836,51 3143 9217,2025-04-15,8991,208267,553.0,sid05wG,dv76Ji,md13mH,40979.61,2656,Casa Grande,2025-05-31 01:57:12,rid63gM,bk65,7985,226953
m,salario,pix,desktop,salario,penguin,Marcos Vinicius Freitas,195.382.476-55,2006-03-30,96140-208,(061) 7882 9834,2022-07-16,4744,554345,649.0,sid83Fw,dv18uC,md67DO,26085.17,2657,da Mata de da Rocha,2023-03-07 11:06:16,rid17jI,bk89,5512,575016
f,pagamento,boleto,cellphone,corrente,bot,Caio da Luz,749.051.236-07,1971-03-20,52119-535,(081) 8031-9068,2024-11-28,2411,164799,390.0,sid07wX,dv84sW,md42ex,28760.43,2658,Ribeiro,2025-10-01 22:31:20,rid45oq,bk52,5024,920797
m,corrente,boleto,cellphone,corrente,bot,Nicolas Albuquerque,596.807.132-02,1990-10-04,94661590,21 2445 6283,2025-10-03,7822,258358,733.0,sid80yq,dv95gW,md22Yw,39862.52,2659,Sousa Paulista,2025-11-10 20:29:52,rid97YR,bk06,3934,761295
m,corrente,ted,cellphone,poupanca,bot,Marcos Vinicius Pereira,981.476.023-40,1985-02-06,91731436,(061) 0350 4969,2023-07-01,2899,589875,556.0,sid52GT,dv66vw,md80Dn,38968.62,2660,Fernandes de da Cunha,2025-03-18 14:52:10,rid76ZP,bk03,8723,232916
m,pagamento,pix,cellphone,poupanca,bot,Bruna Goncalves,653.108.472-35,1985-05-24,20812131,11 3965 1889,2021-02-27,9352,3795,538.0,sid45ei,dv10hS,md41BD,42121.34,2661,Montenegro,2023-05-07 21:31:42,rid55wV,bk07,9988,760868
m,pagamento,pix,cellphone,poupanca,bot,Maria Vitoria Cunha,712.805.436-71,1968-04-18,10434-166,(084) 5536-3323,2021-02-10,8050,962624,475.0,sid18uB,dv62yU,md70xe,32932.94,2662,Costa,2024-04-17 14:04:26,rid47yP,bk32,3423,560752
f,pagamento,pix,cellphone,salario,bot,Julia da Paz,280.459.173-50,1995-05-12,59333816,31 0835-5790,2023-11-04,3516,86235,334.0,sid07oJ,dv52an,md83rg,21643.4,2663,Costela de Farias,2023-11-20 03:53:26,rid78ia,bk27,8918,772666
f,salario,pix,desktop,salario,bot,Luiza Nogueira,397.548.261-37,2001-07-19,35156746,(021) 4896-0170,2020-12-30,6315,993450,623.0,sid30VM,dv36bs,md61Th,13858.83,2664,Rodrigues,2025-10-13 12:15:46,rid21PC,bk48,4785,644607
m,pagamento,boleto,cellphone,corrente,myos,Emanuella Pinto,405.817.632-62,1978-05-22,51145503,+55 (081) 9858-2448,2025-02-06,5473,412287,682.0,sid40ae,dv41IX,md58Fe,16718.69,2665,Macedo do Sul,2025-09-24 21:46:31,rid91hn,bk19,9501,552289
f,corrente,boleto,cellphone,corrente,myos,Stephany Silveira,278.615.490-11,1950-11-19,57324696,0800-575-3048,2023-01-07,747,981196,437.0,sid04hP,dv46SE,md01aK,44907.31,2666,Souza,2023-03-30 15:07:42,rid16Yc,bk93,5859,109580
f,corrente,boleto,cellphone,corrente,bot,Luiz Gustavo Mendonca,875.021.649-01,1993-02-24,27600-220,0900-653-9397,2025-07-15,2862,326778,439.0,sid25YP,dv62Ht,md27JD,31677.05,2667,Siqueira do Amparo,2025-09-18 14:14:18,rid75wy,bk68,1684,315326
m,corrente,pix,cellphone,corrente,bot,Manuela Abreu,485.216.037-62,2006-05-12,91627-520,+55 81 2584-5214,2024-05-16,9600,501922,327.0,sid67Pi,dv63Rj,md61NK,12426.91,2668,Albuquerque de Borges,2024-07-19 01:52:00,rid35rf,bk62,7668,849696
m,pagamento,pix,cellphone,pagamento,cheeseos,Gustavo Henrique da Luz,890.612.735-95,1985-09-14,97954550,(061) 5883-7630,2022-06-29,9168,938484,742.0,sid51cP,dv79Ha,md43hr,47801.11,2669,da Rosa Verde,2022-12-19 05:53:14,rid45Sx,bk01,7562,77456
f,corrente,boleto,desktop,corrente,bot,Maria Eduarda Teixeira,935.480.162-51,1996-04-19,36703-796,+55 (084) 4737-7429,2022-02-09,5797,13271,516.0,sid66WI,dv06zy,md98Jg,3560.32,2670,Nogueira,2023-09-11 13:39:08,rid84ug,bk55,3517,467348
f,pagamento,boleto,cellphone,pagamento,penguin,Brayan Pires,765.412.039-70,1964-04-19,91209-876,0500-418-2541,2023-02-26,5682,94796,567.0,sid56He,dv91sl,md43IX,25843.63,2671,das Neves do Galho,2023-03-12 23:14:28,rid58WW,bk86,8993,419529
f,pagamento,boleto,cellphone,pagamento,myos,Dante Camara,728.041.639-03,1959-05-08,71428774,41 8163-0902,2022-08-16,7565,697797,701.0,sid39Kv,dv58Uw,md41iQ,15503.02,2672,Aparecida,2023-07-18 18:05:06,rid16Qg,bk68,8190,764311
m,pagamento,pix,cellphone,pagamento,bot,Thomas da Cruz,731.426.598-46,2006-09-14,79954-392,+55 71 8604 3245,2024-03-16,8737,178083,473.0,sid68qZ,dv80ur,md35UT,24808.88,2673,Farias,2025-09-12 19:45:43,rid01Vh,bk32,7729,662876
m,salario,pix,desktop,salario,cheeseos,Luiz Miguel Fogaca,125.039.486-42,1983-01-01,84248-715,+55 41 6171 4839,2022-02-26,7717,43233,435.0,sid52nI,dv05zm,md62Au,41994.78,2674,Dias Verde,2024-06-07 05:51:19,rid23LG,bk13,7154,351754
m,pagamento,pix,cellphone,corrente,myos,Sara da Rocha,587.469.210-01,1954-05-06,61807-972,(041) 6898 4147,2021-04-18,4707,461610,694.0,sid26Lc,dv82Ol,md01mC,11872.33,2675,Castro,2023-10-11 03:58:30,rid97CI,bk56,1870,63979
f,salario,pix,cellphone,pagamento,bot,Brenda Machado,204.715.398-05,1961-12-25,77919941,+55 51 9560 8675,2022-05-18,3352,457817,609.0,sid21bH,dv87bw,md61Fd,19270.62,2676,Pacheco de Caldeira,2024-03-11 09:12:06,rid73tQ,bk76,2136,259208
f,salario,pix,cellphone,corrente,bot,Marcos Vinicius Rodrigues,840.273.651-35,2002-06-26,62887-141,84 6266-1686,2023-07-29,4655,898776,532.0,sid30bw,dv42on,md36Cw,45645.2,2677,Marques,2024-11-03 20:26:51,rid97gv,bk36,2846,890070
f,poupanca,pix,cellphone,corrente,bot,Maria Vitoria Marques,305.168.927-03,1953-04-13,79563-546,71 4044 3237,2025-11-21,2751,267341,767.0,sid57rL,dv49ia,md26gs,36633.98,2678,Rocha do Galho,2025-11-21 06:20:52,rid15eS,bk90,3777,994902
m,corrente,pix,cellphone,poupanca,bluescreen,Theo Ramos,217.930.468-40,1991-10-09,43929787,(071) 9391-2729,2024-08-10,9546,545624,793.0,sid33zg,dv56Do,md97JF,32822.18,2679,Caldeira Alegre,2025-05-11 15:38:00,rid00XN,bk18,2153,329508
m,poupanca,boleto,cellphone,salario,bot,Luan Moura,258.901.764-20,1943-01-13,73719-754,31 6977 7093,2024-04-07,9015,849700,750.0,sid20Ui,dv07gJ,md25pr,17661.06,2680,Novais Verde,2024-06-13 08:39:06,rid47QN,bk78,3268,448182
m,poupanca,pix,desktop,salario,myos,Luiz Miguel Vasconcelos,560.793.182-02,1939-06-22,66379-916,31 0541 6168,2020-12-14,4872,91787,595.0,sid03mE,dv88cf,md40ds,8015.61,2681,Guerra de Ribeiro,2025-04-17 06:55:57,rid48lk,bk02,7343,356682
f,corrente,pix,cellphone,corrente,bot,Marcela Monteiro,801.943.572-79,1955-07-03,20573790,0500-059-6180,2022-02-18,8534,670487,605.0,sid93Ca,dv46vP,md38Do,33661.48,2682,da Luz do Amparo,2023-01-05 05:06:34,rid48Nf,bk70,6674,512157
m,poupanca,pix,cellphone,poupanca,cheeseos,Pedro Moura,347.861.029-03,1977-09-25,40029-727,(051) 9901-9297,2023-08-29,6239,93790,700.0,sid65tB,dv34wd,md38ql,35596.04,2683,Martins Verde,2025-01-27 23:37:58,rid65kV,bk60,7629,920390
f,corrente,pix,cellphone,poupanca,cheeseos,Henry Gabriel da Conceicao,287.359.610-40,1949-08-16,66045-096,+55 81 6636-8651,2025-06-05,9118,456834,844.0,sid38hG,dv73Pa,md13Gz,18561.42,2684,da Costa,2025-10-23 02:35:31,rid79ZP,bk44,3328,903047
m,poupanca,pix,cellphone,pagamento,bot,Lorena Cassiano,689.351.427-19,1977-10-29,48858686,51 2412 1340,2024-12-08,4234,372965,610.0,sid44wq,dv57ft,md08Qp,47190.97,2685,Nascimento da Mata,2025-05-20 01:23:07,rid37ik,bk88,2020,81288
m,salario,ted,desktop,corrente,bot,Theo Duarte,024.698.315-98,1975-09-01,90826828,+55 (051) 5492 0625,2024-04-27,9978,131273,534.0,sid14YI,dv10dO,md43Qn,17716.17,2686,Novaes,2024-11-09 02:30:09,rid75ng,bk89,6167,549610
m,poupanca,pix,cellphone,corrente,bot,Maria Eduarda Barbosa,541.897.260-01,1935-01-16,14251532,+55 81 4247-2569,2025-11-08,2198,444165,327.0,sid98Fa,dv10Ht,md04Gk,31290.84,2687,Vargas,2025-11-16 01:40:41,rid93OS,bk04,3560,360246
f,salario,pix,cellphone,salario,myos,Enzo Costa,569.137.240-80,1963-11-26,88356-614,+55 (071) 1782 5126,2022-02-25,9756,713252,717.0,sid51ow,dv04RW,md74cH,10696.4,2688,Aparecida,2025-02-16 03:39:19,rid81fR,bk13,2604,918551
f,corrente,pix,cellphone,corrente,cheeseos,Gustavo Henrique Pimenta,492.503.718-88,1952-11-28,51168416,+55 (041) 0635-6186,2023-05-05,1494,125899,360.0,sid89fC,dv94jZ,md10Lg,39138.24,2689,Santos das Pedras,2023-11-14 03:23:09,rid44cX,bk21,4527,394119
f,corrente,pix,cellphone,corrente,bot,Hadassa Pinto,861.052.973-86,2003-01-11,41375442,+55 31 2114-3243,2024-12-27,257,501248,376.0,sid35iJ,dv41qW,md15mb,18747.43,2690,Rodrigues de Teixeira,2025-09-24 16:55:56,rid83db,bk31,6134,497813
f,poupanca,pix,desktop,poupanca,bot,Oliver Moreira,612.783.405-80,1951-02-22,05611723,0900-146-8015,2021-08-20,8147,273258,696.0,sid94hD,dv69eW,md16xs,33290.4,2691,Machado,2021-09-07 21:49:54,rid76ev,bk44,9828,991195
m,corrente,ted,cellphone,poupanca,bluescreen,Apollo Correia,923.150.764-80,1999-11-27,24070-182,(051) 6095-4900,2022-09-07,6984,364941,470.0,sid79hY,dv22xb,md44zb,4869.84,2692,da Mota da Mata,2023-08-28 08:29:44,rid29Bk,bk58,986,696570
m,corrente,boleto,desktop,poupanca,penguin,Maya Macedo,826.473.109-04,1983-01-06,21395990,+55 (081) 4876 5203,2025-07-11,4843,761913,344.0,sid75uT,dv17Pl,md30Wp,11170.08,2693,Campos,2025-09-12 19:14:16,rid80mD,bk61,8366,465941
m,pagamento,pix,cellphone,poupanca,bot,Amanda Goncalves,649.537.082-29,1943-11-14,48141926,+55 (021) 3782 7560,2025-06-10,8242,232484,612.0,sid91FN,dv32EF,md62Hl,48088.7,2694,da Mota dos Dourados,2025-07-03 02:38:54,rid91YX,bk71,717,728926
m,corrente,ted,cellphone,corrente,myos,Caroline Barros,304.956.812-70,1991-09-12,58339303,(031) 5355-2557,2024-06-12,5634,881595,633.0,sid09pz,dv92yS,md94aJ,18879.61,2695,Cassiano,2024-12-23 11:41:01,rid51tT,bk33,8256,256992
m,salario,pix,desktop,pagamento,myos,Felipe Aparecida,915.730.462-99,1939-07-28,01807642,(071) 0805 1208,2021-06-30,8990,115247,793.0,sid90UE,dv76dl,md85bx,14348.5,2696,Sousa da Praia,2022-01-14 01:35:20,rid80Lf,bk86,2245,181264
m,pagamento,boleto,cellphone,pagamento,cheeseos,Ana Beatriz Lima,768.543.291-91,1944-06-01,40572-374,81 5312-0803,2022-10-08,3266,263202,610.0,sid83pV,dv38RV,md93fF,2173.99,2697,Rios de Barbosa,2023-05-03 13:07:06,rid37XN,bk49,8550,908119
f,corrente,pix,cellphone,poupanca,bot,Isadora da Costa,428.519.736-73,1935-09-07,27160030,+55 61 8743-9183,2021-11-26,7705,891109,521.0,sid06DX,dv25vq,md81tJ,2172.23,2698,Abreu,2022-02-11 10:18:18,rid01lL,bk81,5874,809686
m,corrente,pix,cellphone,corrente,bot,Luiz Gustavo Pastor,980.214.653-60,1956-06-01,82762434,+55 (031) 4583 4461,2025-04-08,1108,972602,638.0,sid27GK,dv56Ew,md38uK,29185.16,2699,Pastor,2025-04-22 01:58:00,rid12Hd,bk81,7095,12303
m,corrente,ted,cellphone,poupanca,bot,Ana Laura Macedo,469.751.038-01,1942-07-29,97384-803,+55 (051) 1621-5975,2021-02-07,9460,31486,772.0,sid33bj,dv42nK,md10NP,15137.31,2700,Melo,2022-11-05 04:46:36,rid48ET,bk10,4277,526672
m,poupanca,pix,cellphone,pagamento,cheeseos,Danilo Siqueira,649.371.025-16,1946-01-03,62204524,(084) 3244 4190,2023-12-17,8258,842318,698.0,sid65Aw,dv74pp,md19Vc,12215.82,2701,Peixoto do Sul,2024-10-29 08:32:51,rid16ht,bk38,387,896430
f,salario,boleto,desktop,salario,bot,Davi Lucas Ramos,847.063.512-35,1958-12-12,03743275,+55 21 1717-1537,2024-03-23,1676,320092,317.0,sid87sj,dv70Oy,md55gV,7624.98,2702,Rios,2024-06-04 22:17:28,rid86Su,bk47,1404,364903
m,pagamento,ted,desktop,poupanca,bluescreen,Bianca Sa,264.715.089-30,1944-02-22,41499-246,(021) 7121 2336,2022-11-25,7082,185208,304.0,sid01DK,dv18dM,md19TT,4263.49,2703,Porto,2025-08-29 05:01:36,rid35ez,bk89,8085,433666
f,pagamento,pix,cellphone,poupanca,cheeseos,Theodoro Moreira,213.098.645-51,1955-12-15,66126811,+55 (071) 7673-1793,2022-03-12,3220,325956,742.0,sid95cm,dv75qC,md68vO,30781.93,2704,Caldeira,2024-02-21 21:44:12,rid48sw,bk21,7130,452999
m,pagamento,pix,cellphone,corrente,bluescreen,Luiz Otavio Cunha,267.431.805-80,1951-03-20,13164-220,84 9171 1063,2021-10-17,759,265058,604.0,sid07MA,dv38uJ,md38MJ,38853.13,2705,Correia,2022-05-04 00:00:10,rid34gQ,bk87,6075,18250
f,corrente,boleto,cellphone,corrente,bluescreen,Cecilia Melo,140.739.658-75,1963-12-13,41469299,+55 81 4401 6741,2023-04-29,2850,141657,772.0,sid48Br,dv09pL,md42vf,42744.77,2706,da Paz de Camara,2024-03-27 20:30:32,rid20sE,bk63,4500,365128
m,corrente,pix,cellphone,corrente,bluescreen,Nathan Nogueira,742.503.968-00,1982-04-05,89667-249,84 0639-3796,2023-08-26,4572,930170,545.0,sid56Pt,dv12fk,md38LL,29362.32,2707,Albuquerque de Viana,2025-08-19 03:42:35,rid98TG,bk70,3199,308248
m,pagamento,pix,cellphone,corrente,myos,Oliver Melo,196.742.503-52,1952-05-08,30933-611,(031) 7994 5955,2023-05-22,9794,270189,797.0,sid08rV,dv18fb,md70Rb,22661.77,2708,Correia,2025-08-13 08:13:45,rid12zd,bk73,4696,272136
m,pagamento,pix,cellphone,pagamento,bot,Leonardo Barros,156.743.928-46,1939-02-10,58160636,+55 (021) 7773 4822,2022-12-13,1748,658347,801.0,sid46SQ,dv70sw,md44qc,13588.31,2709,Nascimento da Praia,2023-06-22 20:23:18,rid77PO,bk82,6637,196864
f,pagamento,pix,cellphone,poupanca,penguin,Felipe Gomes,240.631.987-31,1990-02-15,97288-859,(051) 3868-3454,2023-08-23,8642,177752,447.0,sid72ek,dv52FD,md00oX,11124.21,2710,Aparecida,2024-08-15 22:25:38,rid16Qj,bk25,3222,822324
m,corrente,ted,desktop,corrente,myos,Breno Cunha,549.738.261-46,1955-02-08,22588-722,(021) 5408-6084,2023-09-21,9369,170910,818.0,sid51uI,dv98by,md23Is,12346.61,2711,Caldeira,2024-08-11 17:37:46,rid32fA,bk08,2643,472049
m,corrente,ted,cellphone,corrente,myos,Lara Vargas,813.204.597-14,1939-06-13,78905-701,+55 81 7088 1796,2023-12-19,4240,74070,339.0,sid92dI,dv51sV,md07ZY,41672.78,2712,Borges,2025-06-22 00:06:33,rid50Zl,bk83,5692,748372
m,salario,pix,cellphone,poupanca,bot,Antony Albuquerque,178.963.524-19,1966-10-19,19977-473,(084) 9149-2027,2024-10-06,3826,798239,569.0,sid23VS,dv92pL,md46Pp,47397.58,2713,Souza,2024-12-16 00:23:02,rid83GP,bk61,4136,780252
m,corrente,pix,cellphone,poupanca,penguin,Apollo Araujo,816.234.509-42,1983-10-31,35302-432,+55 81 2958-1759,2022-04-10,7869,854225,352.0,sid45xp,dv83pM,md08HF,16105.96,2714,Ramos de Costa,2024-10-18 12:17:59,rid14hl,bk49,847,297554
f,poupanca,pix,cellphone,corrente,myos,Mariane da Paz,307.958.641-75,1984-09-27,38385-900,81 6115-1645,2022-01-05,2132,29691,782.0,sid83vK,dv08FN,md85QR,18928.55,2715,Castro,2023-04-14 10:26:06,rid11dM,bk09,9276,789847
f,pagamento,pix,cellphone,salario,bot,Joao Felipe Cardoso,463.205.981-15,1939-11-28,36325-280,0800-498-2373,2022-12-14,4699,879474,523.0,sid27DA,dv27dP,md76EE,5326.18,2716,Cavalcante das Pedras,2025-07-21 02:30:28,rid84HF,bk14,9060,484144
f,corrente,pix,cellphone,pagamento,myos,Allana Sa,894.162.053-89,1963-02-26,34538889,0300 904 7337,2021-02-01,7485,452604,422.0,sid74SD,dv67lD,md35hd,24023.57,2717,Borges de Rocha,2022-12-19 09:01:33,rid84cP,bk95,2703,335698
f,salario,boleto,desktop,corrente,myos,Bento Porto,248.730.951-23,1982-05-16,12181685,(031) 3242-7869,2024-07-26,1931,700220,787.0,sid63my,dv55UO,md26JZ,22117.49,2718,da Cruz,2025-11-20 07:23:56,rid74Di,bk19,3965,112617
f,corrente,pix,cellphone,corrente,bot,Rael Monteiro,039.485.267-29,1991-11-16,56001-526,+55 61 6514-9898,2024-05-28,5182,19958,462.0,sid23sJ,dv95gZ,md50qr,47240.66,2719,Novais,2025-02-25 12:10:05,rid86dj,bk07,7048,758290
f,corrente,boleto,cellphone,pagamento,bot,Davi Lucas Oliveira,319.526.704-70,1986-04-03,74080936,0300 587 0564,2021-01-02,5158,440681,611.0,sid62GA,dv80Ya,md40IS,20357.86,2720,da Paz da Praia,2022-04-17 06:50:23,rid38XH,bk11,2525,410971
f,pagamento,ted,cellphone,salario,bot,Yasmin Machado,536.174.892-73,1994-10-02,91926-022,0800-961-3971,2022-01-31,2498,851927,700.0,sid11yR,dv42IO,md18fh,18009.65,2721,da Mota do Amparo,2024-06-13 13:22:44,rid38sI,bk33,2729,454839
m,corrente,ted,cellphone,pagamento,bot,Pedro Lucas Barbosa,514.903.278-60,2004-04-25,61444405,0800 747 7822,2022-09-26,2334,16715,839.0,sid11iD,dv02Ns,md42DB,10722.12,2722,Aparecida,2025-06-12 03:56:08,rid66NC,bk48,1258,353775
m,pagamento,pix,cellphone,salario,penguin,Yan Siqueira,037.621.485-62,1948-07-14,22743-261,61 5936-3445,2024-03-08,6552,991201,612.0,sid61HZ,dv20Ba,md90Ft,15171.93,2723,Siqueira do Amparo,2024-12-16 16:42:31,rid02Pz,bk72,1267,899125
f,pagamento,boleto,cellphone,salario,cheeseos,Brayan Pinto,071.942.586-76,1976-10-19,74067568,(071) 3640-9591,2023-07-26,4107,543354,608.0,sid93UG,dv38mi,md49XZ,17449.8,2724,Cunha de Marques,2025-03-03 09:54:57,rid68lQ,bk27,6246,442274
f,pagamento,boleto,cellphone,corrente,myos,Hellena Mendes,792.601.853-86,1980-01-24,39440107,+55 (031) 4051 7709,2023-10-10,108,968605,549.0,sid18Wi,dv78Ov,md08WF,4624.44,2725,Nascimento de Cavalcanti,2025-03-23 11:10:13,rid29Ef,bk20,3832,51305
m,corrente,pix,cellphone,pagamento,cheeseos,Ravy Costela,480.536.912-42,1974-11-09,12304778,41 6769 3295,2022-05-15,4136,40687,515.0,sid68iG,dv30Yq,md15fE,46861.28,2726,da Luz,2025-05-24 09:06:59,rid58pG,bk02,7962,581036
m,corrente,pix,cellphone,salario,penguin,Kaique Borges,430.869.257-10,1977-07-27,15518029,31 6628 3740,2023-01-20,873,439953,784.0,sid41DS,dv89bY,md66GW,6071.76,2727,Castro,2025-07-06 02:26:01,rid42rk,bk80,3946,555186
f,salario,pix,cellphone,corrente,penguin,Luara Silveira,790.863.512-12,1977-05-21,71267-927,+55 (021) 4397 1623,2024-04-14,4636,470941,466.0,sid31cg,dv38pO,md52sk,10431.3,2728,Pereira,2024-06-26 21:02:46,rid86Sj,bk29,6160,893680
f,corrente,pix,cellphone,pagamento,myos,Gabriela Machado,503.746.291-61,1938-12-15,19738-225,0800 843 6328,2024-12-21,6391,618410,303.0,sid99Km,dv94sT,md01WV,43696.55,2729,Marques,2025-01-14 20:49:40,rid92aW,bk54,5317,54890
m,corrente,pix,desktop,corrente,myos,Luiza Caldeira,478.125.960-01,1978-05-20,99558212,0500 063 0722,2022-05-16,9046,6691,825.0,sid56Kj,dv23hT,md03xs,29159.56,2730,Fernandes do Campo,2023-03-03 22:25:05,rid23Vc,bk06,6083,125882
m,pagamento,boleto,cellphone,salario,myos,Felipe Barros,038.645.129-05,1958-11-20,75334313,+55 (041) 1629-3624,2021-10-25,5162,651131,329.0,sid80Og,dv02DU,md14Qe,2395.52,2731,da Cunha dos Dourados,2024-01-02 03:44:57,rid51yg,bk82,7317,715734
m,corrente,pix,cellphone,salario,bot,Marina Cunha,245.687.910-49,2007-09-28,20580806,(031) 0020 9603,2025-08-07,1467,37614,339.0,sid89He,dv00Bo,md45HT,29270.99,2732,da Cunha,2025-10-08 01:18:55,rid42vI,bk23,2392,345042
f,poupanca,pix,cellphone,pagamento,bot,Gabrielly Ribeiro,248.039.715-79,2006-12-21,13703920,+55 (051) 4821-1916,2024-01-17,1005,760847,427.0,sid04EQ,dv04Ky,md36Jt,2343.94,2733,Ferreira,2024-10-19 23:28:09,rid19Sf,bk50,4958,954269
f,pagamento,boleto,desktop,poupanca,myos,Pedro Henrique Viana,765.912.480-30,1986-09-26,91805374,0900-738-9781,2024-03-20,6648,383560,328.0,sid72CO,dv31ht,md93Bt,34019.96,2734,Macedo de Nunes,2025-05-26 00:43:40,rid46Cp,bk56,1585,714887
m,salario,boleto,cellphone,salario,bot,Aurora Nascimento,193.758.260-40,1944-12-08,25043-090,0500 974 8336,2022-03-10,6553,110345,445.0,sid26xg,dv65Tu,md32dl,13119.97,2735,Gomes,2024-05-28 06:59:54,rid93qv,bk56,4278,541659
m,salario,pix,cellphone,pagamento,bot,Lunna Cardoso,386.579.124-73,1973-05-12,22997-012,84 5588-3861,2024-06-06,9919,140840,500.0,sid76lm,dv37MK,md50HN,15850.5,2736,Camara,2025-06-09 17:41:20,rid52zY,bk80,4123,713505
f,corrente,pix,cellphone,corrente,bot,Noah Moraes,746.318.290-87,1974-05-13,23360772,51 3973 6582,2021-04-09,3171,518651,417.0,sid54Fo,dv07qj,md42kK,4080.56,2737,Machado dos Dourados,2022-01-04 17:35:59,rid85Ng,bk22,4241,67549
m,corrente,pix,cellphone,poupanca,myos,Agatha Vargas,251.690.473-80,1973-09-07,00051793,(051) 2012 3778,2022-07-18,5549,829494,316.0,sid48NV,dv52IA,md22Zc,9479.16,2738,Vargas,2025-08-01 16:00:35,rid50tb,bk04,9512,162324
m,corrente,pix,cellphone,poupanca,myos,Isabela Rezende,719.358.026-40,1957-05-23,96518-823,(071) 9379-3975,2022-04-29,1780,942402,336.0,sid07Jm,dv80Aj,md39rB,42380.83,2739,Campos da Praia,2023-02-08 22:46:11,rid26eo,bk25,3544,128966
f,poupanca,boleto,cellphone,poupanca,bot,Renan Macedo,804.531.697-75,1950-09-21,22040071,71 4861-5997,2025-05-23,3174,479675,399.0,sid06Bm,dv29kH,md71ax,17164.47,2740,Garcia,2025-10-20 09:53:39,rid06ec,bk47,2182,438540
m,pagamento,pix,desktop,corrente,myos,Pietro da Luz,138.975.026-40,1989-11-16,27714-875,(011) 3998 1466,2025-08-06,3823,766730,631.0,sid36PB,dv30Kw,md30CN,23054.77,2741,Peixoto de Goias,2025-10-09 09:54:36,rid21us,bk16,4470,634661
f,corrente,boleto,desktop,salario,bot,Nicole Novais,064.739.581-93,1936-09-23,15330793,11 6976-8550,2021-07-25,2034,448857,719.0,sid19zQ,dv69MU,md98XF,12906.91,2742,Lima,2024-05-03 12:15:28,rid29WY,bk06,4092,560044
f,corrente,ted,cellphone,corrente,bot,Maria Luisa Correia,640.239.718-04,1968-04-09,80903237,(021) 3370 1573,2024-10-02,3035,431939,579.0,sid26tT,dv06WP,md24UM,43605.41,2743,Dias Grande,2025-05-20 16:03:35,rid16qx,bk01,9288,164870
m,corrente,ted,cellphone,salario,bot,Bryan Aparecida,437.580.261-80,1976-04-22,76268957,+55 11 5929 5269,2022-01-27,346,807962,476.0,sid30Vc,dv08rN,md44vR,24984.11,2744,Casa Grande,2024-02-28 00:48:08,rid41to,bk95,4272,985904
m,poupanca,pix,cellphone,corrente,myos,Beatriz Leao,174.628.905-85,1963-01-21,94188464,+55 31 1101-9683,2021-03-08,8459,31089,684.0,sid91tU,dv23ES,md43ik,8344.97,2745,da Cruz,2024-01-17 02:27:52,rid08PF,bk24,7402,170306
m,corrente,pix,desktop,pagamento,bot,Emanuelly Vieira,061.352.847-62,1979-06-04,38808828,+55 (084) 1036-6136,2021-11-21,9552,777086,447.0,sid82HY,dv78pE,md99xG,19508.67,2746,Santos,2023-01-20 08:49:16,rid78Wd,bk93,1721,628326
f,corrente,pix,cellphone,salario,bot,Levi Cavalcante,059.423.761-07,1990-08-02,77657024,+55 31 0029-2321,2022-08-23,5072,338439,478.0,sid33GV,dv55aN,md49Np,14847.84,2747,Macedo Grande,2023-12-06 09:29:33,rid77zn,bk47,1572,801478
f,corrente,boleto,desktop,pagamento,bot,Liz Silveira,039.218.754-04,1984-08-01,84163954,+55 (041) 5092-7431,2024-04-16,268,412818,697.0,sid39Ec,dv81Gu,md06QH,48508.57,2748,Carvalho,2025-07-02 12:57:53,rid08gx,bk15,8095,202296
f,corrente,pix,cellphone,salario,penguin,Eduarda da Luz,810.493.625-51,1989-05-30,86518-519,+55 (084) 6162 9405,2021-12-31,3264,198730,654.0,sid98zW,dv77tI,md87xz,7302.44,2749,Viana,2023-06-17 03:05:23,rid13Bt,bk01,6155,954037
